date,time,tweet,BUENO,NEUTRAL,MALO,QUEJA,AYUDA ,AGRADECIMIENTO,OUTSTANDING ,TÓPICO 
2023-01-01,,"Resuelto, muchísimas gracias , excelente servicio como siempre",1,,,,,1,1,SERVICIO
2023-01-02,,"Muchas gracias, espero su dm",1,,,,,1,,
2023-01-02,,Muchas gracias!,1,,,,,1,,
2023-01-02,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,,,1,1,,,,SERVICIO
2023-01-02,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,1,,,,,,1,SERVICIO
2023-01-02,,Esta es la señal que necesitan para tener el mínimo dinero en banamex,1,,,,,,,COMPETENCIA
2023-01-03,,Gracias 😁,1,,,,,1,,
2023-01-03,,Muchas gracias 😊,1,,,,,1,,
2023-01-03,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",1,,,,,,1,SERVICIO
2023-01-04,,Gracias por la playera que me dieron en Galerías GDL.,1,,,,,1,,EVENTOS
2023-01-04,,buen día...tengo problemas con mi cuenta,,,1,1,,,,SERVICIO
2023-01-05,,Gracias,1,,,,,1,,
2023-01-05,,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,1,,,,,1,1,SERVICIO
2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",1,,,,,1,,SERVICIO
2023-01-06,,"Ya todo bien, gracias 👍",1,,,,,1,,
2023-01-06,,Milagro que me gano algo 🫶🏻,1,,,,,,,
2023-01-06,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,1,,,,,,1,SERVICIO
2023-01-06,,nunca había ganado nada antes ✨ hahaha,1,,,,,,,
2023-01-06,,Con el CashBack de pude pagar mi servicio de internet. yei :),1,,,,,,,SERVICIO
2023-01-07,,Gracias!!!,1,,,,,1,,
2023-01-07,,"Listo, gracias",1,,,,,1,,
2023-01-07,,Si gracias,1,,,,,1,,
2023-01-08,,A mí me llegó una semana después aprox,,1,,,,,,
2023-01-09,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,,1,,,1,,,SERVICIO
2023-01-10,,Muchas gracias!,1,,,,,1,,
2023-01-10,,Muchas gracias 🙏,1,,,,,1,,
2023-01-10,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",,1,,,,,,
2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",1,,,,,,1,COMPETENCIA
2023-01-11,,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,1,,,,,1,,
2023-01-11,,"Pues bueno, me quedé sin cena, muchas gracias 👍",,,1,1,,,,
2023-01-11,,"Gracias e igualmente, bendiciones 🙏",1,,,,,1,,
2023-01-11,,Vale estoy esperando,,1,,,,,,
2023-01-11,,Muchas gracias espero la respuesta,1,,,,,1,,
2023-01-13,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,1,,,,,1,,
2023-01-13,,es mejor,,1,,,,,,
2023-01-13,,Contéstenme por favor,,1,,1,1,,,
2023-01-14,,Muchas gracias que amables 😊,1,,,,,1,,
2023-01-14,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",1,,,,,1,,SERVICIO
2023-01-14,,amigos les mandé dm gracias,,1,,,,,,
2023-01-14,,solicito su ayuda gracias,,1,,,1,,,
2023-01-15,,Gracias!Ya respondí.Quedo atenta,1,1,,,,1,,
2023-01-16,,Va gracias,1,,,,,1,,
2023-01-16,,No sé ni a qué le piqué pero muchas gracias😂❤️,1,,,,,1,,
2023-01-16,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",,1,,,,,,
2023-01-16,,Por eso son mi banco 1 ⭐⭐⭐⭐⭐,1,,,,,,1,
2023-01-17,,Gracias,1,,,,,1,,
2023-01-17,,Thanks!,1,,,,,1,,
2023-01-17,,Muchas gracias!,1,,,,,1,,
2023-01-17,,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",1,,,,,1,1,SERVICIO
2023-01-17,,"Increíble, gracias HeyBanco!!@heybanco",1,,,,,1,,
2023-01-17,,Me contestaron que sí.,,1,,,,,,
2023-01-18,,Gracias,1,,,,,1,,
2023-01-18,,Gracias!,1,,,,,1,,
2023-01-18,,Graciaaas.,1,,,,,1,,
2023-01-18,,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",1,,,,,1,,
2023-01-18,,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",1,,,,,,,COMPETENCIA
2023-01-18,,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,,1,,,,,,
2023-01-19,,¡Gracias,1,,,,,1,,
2023-01-19,,"¡Hola!, me pueden apoyar por favor 😬",,1,,,1,,,
2023-01-19,,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼",1,,,,,1,,
2023-01-19,,"Gracias, ya se ve reflejado. Solucionado. Gracias",1,,,,,1,,
2023-01-20,,"Listo, gracias!",1,,,,,1,,
2023-01-20,,Muchas gracias!,1,,,,,1,,
2023-01-20,,Los tkm ♥️,1,,,,,,,
2023-01-20,,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",1,,,,,1,,
2023-01-20,,Cof cof también ❤️❤️,1,,,,,,,
2023-01-20,,te lo súper recomiendo. Y no te cobran el plástico.,1,,,,,,,SERVICIO
2023-01-20,,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼",1,,,,,,,SERVICIO
2023-01-21,,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",1,,,,,1,,
2023-01-23,,Gracias !,1,,,,,1,,
2023-01-23,,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",1,,,,,1,,
2023-01-23,,Gracias ! Este mes me tocó boletoDorado,1,,,,,1,,
2023-01-23,,Bello!,1,,,,,,,
2023-01-23,,Aún hay esperanza.. congrats !!,1,,,,,,,
2023-01-24,,Gracias 😊😊😊,1,,,,,1,,
2023-01-24,,Gracias.,1,,,,,1,,
2023-01-24,,Muchas gracias 👌👌,1,,,,,1,,
2023-01-24,,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,1,,,,,1,,
2023-01-24,,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,1,,,,,1,,
2023-01-24,,No mames que buena suee!,,1,,,,,,
2023-01-24,,"segundo premio, espero lleguen más",1,,,,,,,
2023-01-25,,Gracias!!!,1,,,,,1,,
2023-01-25,,Gracias ☺️,1,,,,,1,,
2023-01-25,,"Hola, esto nos beneficia a los usuarios de",,1,,,,,,
2023-01-26,,Gracias por el apoyo con el seguimiento,1,,,,,1,,
2023-01-26,,Gracias tio hey! Esto nos ayuda bastante.,1,,,,,1,,
2023-01-26,,Muchas gracias Un mes gratis de,1,,,,,1,,
2023-01-27,,Muchísimas gracias ya me resolvió. Saludos!,1,,,,,1,,SERVICIO
2023-01-27,,Vale gracias 😃,1,,,,,1,,
2023-01-27,,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,1,,,,,1,,
2023-01-27,,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,1,,,,1,,,
2023-01-27,,Gracias por ser pae de el FC Barcelona,,1,,,,,,
2023-01-27,,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,,,1,1,,,,SERVICIO
2023-01-28,,Ok gracias,1,,,,,1,,
2023-01-28,,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.",1,,,,,,1,SERVICIO
2023-01-28,,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien",1,,,,,,1,COMPETENCIA
2023-01-28,,Excelente,1,,,,,,,
2023-01-29,,Me gane 2 premios,1,,,,,,,
2023-01-29,,Amiga explícame!!!,,1,,,,,,
2023-01-30,,Muchas gracias por la información!,1,,,,,1,,
2023-01-30,,ThankU!,1,,,,,1,,
2023-01-30,,"Vientos, gracias",1,,,,,1,,
2023-01-30,,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,,1,,,,,,
2023-01-31,,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,,1,,,1,,,
2023-02-01,,Gracias 👏🏼,1,,,,,1,,
2023-02-01,,"Gracias, lo checo",1,,,,,,,
2023-02-01,,¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información,,1,,,1,,,
2023-02-01,,Gracias por el dato y cómo fue soeo 👀?,1,,,,,1,,
2023-02-01,,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito",,1,,,1,,,SERVICIO
2023-02-02,,Muchas gracias,1,,,,,1,,
2023-02-02,,Gracias ya se solucionó. Buenas tardes,1,,,,,1,,
2023-02-02,,Lo realizaré.Gracias.,1,,,,,1,,
2023-02-02,,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,1,,,,,1,1,EVENTOS
2023-02-03,,Me funcionó mil gracias,1,,,,,1,,
2023-02-03,,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,1,,,,,1,,
2023-02-04,,Mmm. te da el rendimiento del 10% Es buena opción.,1,,,,,,,SERVICIO
2023-02-04,,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,1,,,,,1,1,SERVICIO
2023-02-05,,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,1,,,,,,,
2023-02-07,,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios",,1,,,,,,
2023-02-08,,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.",,,1,,,,,SERVICIO
2023-02-08,,Gracias por ser el mejor banco ✨,1,,,,,1,1,
2023-02-10,,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.",1,,,,,,1,COMPETENCIA
2023-02-11,,gracias,1,,,,,1,,
2023-02-11,,Solucionado. Gracias.,1,,,,,1,,
2023-02-11,,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.",1,,,,,,,COMPETENCIA
2023-02-11,,Excelente servicio de atención a clientes en HeyBanco 10/10,1,,,,,,1,SERVICIO
2023-02-11,,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤,1,,,,,,,EVENTOS
2023-02-13,,Ok muchas gracias 😊,1,,,,,1,,
2023-02-13,,Gracias. Porque tengo una duda,1,,,,,,,
2023-02-13,,¡Gracias a ti por formar pae de esta gran familia!,1,,,,,,,
2023-02-13,,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.",1,,,,,,1,
2023-02-14,,100 % recomendado la vdd,1,,,,,,1,
2023-02-14,,Para ver si eres fit y viable para seguros de vida! XD,,1,,,,,,
2023-02-14,,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?",1,,,,,,,
2023-02-15,,😒 Gracias 😊,1,,,,,1,,
2023-02-15,,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),1,,,,,,,
2023-02-15,,hola ocupo ayuda con el cambio de número de celular y con mi token,,1,,,1,,,
2023-02-16,,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí",1,,,,,,,
2023-02-16,,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?",1,,,,1,,,
2023-02-16,,"Pues más vale, la verdad",,1,,,,,,
2023-02-16,,Ya está todo listo..,,1,,,,,,
2023-02-17,,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,1,,,,,,1,SERVICIO
2023-02-17,,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,,1,,,,,,COMPETENCIA
2023-02-17,,"Gracias por la respuesta, estaré al pendiente",1,,,,,1,,
2023-02-18,,Hola buenas tardes,,1,,,,,,
2023-02-18,,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",,1,,,,1,,
2023-02-20,,Gracias,1,,,,,1,,
2023-02-20,,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,1,,,,,1,,
2023-02-21,,Hola!!!,,1,,,,,,
2023-02-23,,Saludos a,,1,,,,,,
2023-02-23,,"real esa tarjeta es la neta, en general el banco es 10/10",1,,,,,,1,
2023-02-23,,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻",1,,,,,,,
2023-02-23,,como puedo inveir con ustedes y como se genera las ganancias para uno,1,,,,1,,,SERVICIO
2023-02-24,,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,1,,,,,,,
2023-02-24,,.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado,1,,,,,,1,EVENTOS
2023-02-24,,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔",,1,,,1,,,
2023-02-25,,"Gracias, hasta ahorita los amo 💙",1,,,,,1,,
2023-02-26,,Gracias bro,1,,,,,1,,
2023-02-26,,"Gracias, ya lo envié.",1,,,,,1,,
2023-02-26,,"Gracias por responder, quedo en espera de la solución al problema.",1,,,,,1,,
2023-02-26,,yo hice varias transferencias hace rato y todo bien,1,,,,,,,
2023-02-26,,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente,1,,,,,,,
2023-02-26,,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,1,,,,,,,
2023-02-26,,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario.",,,1,,,,,
2023-02-26,,“Agradecemos tu comprensión” jaja increíble,,,1,,,,,
2023-02-26,,Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.,,1,,,,,,
2023-02-27,,Gracias ya les respondí,1,,,,,1,,
2023-02-27,,Listo!! Gracias,1,,,,,1,,
2023-02-27,,Perfecto! Gracias ☺️,1,,,,,1,,
2023-02-27,,Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación,1,,,,,,,
2023-02-27,,Esta padrisima la tarjeta!!,1,,,,,,1,
2023-02-27,,"Está muy bonito, me hace considerar adquirir la tarjeta",1,,,,,,,
2023-02-27,,Gracias. Ya le mande todos mis datos de mi tarjeta.,1,,,,,1,,
2023-02-27,,"Sí, sin problema:D",,1,,,,,,
2023-02-27,,"No es problema de ,es ellos son los que tienen la falla. Dalay.",,,1,,,,,
2023-02-27,,"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema.",,,1,1,,,,
2023-02-27,,"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también.",,1,,,,,,
2023-02-27,,"Tengo BBVA y Bancoppel, las dos trabajan a la perfección.",,1,,,,,,COMPETENCIA
2023-02-27,,Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.,1,,,,1,,,
2023-02-27,,Que bien! 👍🏼,1,,,,,,,
2023-02-28,,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑",1,,,,,,1,
2023-02-28,,Esta bien,1,,,,,,,
2023-02-28,,"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!",1,,,,,,1,SERVICIO
2023-02-28,,"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!",1,,,,,,,
2023-03-01,,"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero",1,,,,,,1,
2023-03-02,,"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)",1,,,,,1,,
2023-03-02,,Mucho exito! heybanco,1,,,,,,,
2023-03-02,,. recomendadísimas 👌(pd. YoTePresto y 100Ladrillos HechoEnJalisco),1,,,,,,1,
2023-03-03,,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria",1,,,,,1,,
2023-03-03,,¡Manifiesto!✨️ Hoy fui y salí enmoradísima. Me subí y así casi que me voy a dar una vuelta ¡Hermosisimo el carro! ¡Háganme la buena!❤️‍🔥🙏💕,1,,,,,,1,
2023-03-03,,"Se resolvió con la actualización de la app, gracias. También me sirvió el DM 👌🏼",1,,,,,1,,
2023-03-03,,Ustedes son mi banco y la verdad lo estan haciendo muy bien!,1,,,,,,1,
2023-03-03,,Definitivamente👆🏽,,1,,,,,,
2023-03-04,,Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄,,,1,1,,,,
2023-03-04,,Gracias la transferencia fue aplicada al día siguiente,1,,,,,1,,
2023-03-06,,"Gracias, ya lo resolví jajaja, me equivoqué",1,,,,,,,
2023-03-06,,Quedó aclarado el tema. Gracias.,1,,,,,1,,
2023-03-07,,Bank run!!!,,1,,,,,,
2023-03-07,,Les respondí por privado. Saludos!,,1,,,,,,
2023-03-07,,eso es bueno saberlo,,1,,,,,,
2023-03-08,,Gracias por la información 🙏,1,,,,,1,,
2023-03-08,,Gracias!,1,,,,,1,,
2023-03-08,,Listo!!!,,1,,,,,,
2023-03-08,,"Así te da la bienvenida a tu tarjeta de Metal, aún sin beneficios adicionales 🫠",,,1,1,,,,SERVICIO
2023-03-08,,"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita",1,,,,,,,
2023-03-08,,La verdad es menos tedioso el proceso de hablar con alguien en me agrada mucho la experiencia.,1,,,,,,,SERVICIO
2023-03-09,,"Gracias, ya les contesté",1,,,,,1,,
2023-03-09,,ayuda!!!,,1,,,1,,,
2023-03-09,,"Si gracias, les volví a contestar hace un par de horas",1,,,,,1,,
2023-03-09,,"Fue más rápido marcar, tuve que hacer una caa de hechos en donde ponía los datos que quería cambiar y ya lo hicieron, por fin pude instalar el Token. el chico que me atendió súper bueno y amable! Se llama Christhian Hernández ❤️",1,,,,,,1,
2023-03-10,,"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥",,1,,,,,,
2023-03-11,,"Yeah, son los mejores a pesar del veto",,1,,,,,,
2023-03-12,,Muchas gracias!,1,,,,,1,,
2023-03-12,,"solucionado, muchas gracias 🫶🏼",1,,,,,1,,
2023-03-12,,Ya se puede,1,,,,,,,
2023-03-13,,Gracias!,1,,,,,1,,
2023-03-13,,Gracias :),1,,,,,1,,
2023-03-13,,"Me siguen hablando en horario laboral.El que su personal de DHL descuide su trabajo, no significa que yo tenga que descuidar el mío.Si me van a hablar, que sea después de las 15 hrs o 3 pm.Agradezco que ésta vez si lean mi horario y me hablen cuando puedo atender el teléfono.",,,1,1,,,,
2023-03-13,,Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback,,,1,1,,,,COMPETENCIA
2023-03-13,,Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠,1,,,,,,1,
2023-03-13,,"Bueno, es que yo si pude ya.",,1,,,,,,
2023-03-13,,Excelente!!,1,,,,,,,
2023-03-13,,Excelente,1,,,,,,,
2023-03-13,,Muy bien excelente,1,,,,,,,
2023-03-13,,"Me gane un mes de Spotify y no soy usuario 😄, mejor que me cambien mi tarjeta, me gusta más la blanca del negocio. 😁",,1,,1,,,,
2023-03-13,,es excelente! Yo eh trabajo varios años con ellos y todo perfecto,1,,,,,,1,
2023-03-14,,Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.,1,,,,,1,,
2023-03-14,,Wooow que emoción,1,,,,,,,
2023-03-14,,🥳 Nunca me gano nada.Pero hoy empeze bien mi día 👍🏻,1,,,,,,,
2023-03-14,,Exito🏳️‍🌈🏳️‍🌈,1,,,,,,,
2023-03-15,,"Ya les contesté, gracias",,1,,,,1,,
2023-03-15,,Listos !!!!!!!!,,1,,,,,,
2023-03-15,,"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano",,,1,,,,,
2023-03-15,,"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses.",1,,,,,,1,
2023-03-15,,Wwwooowww que maravilla felicidades y por supuesto que ahí estaré para disfrutar de mi Chica Dorada,1,,,,,,1,EVENTOS
2023-03-15,,En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito,,,1,1,,,,
